SiteID,Below_Capacity,Over_Capacity,Min_IQR_Upper_Bound_Value,Max_Value_95Perc,Average_Rate_Of_Change,Unusual_Change_90th_Perc.,MaxRoC,Unusual_Spike,Repeated_values,Unnamed: 10
739,0.0,110.0,168.5,110.0,3.926660234,17.0,131.0,17.0,4,
740,0.0,32.00001,43.0,32.00001,1.890122889,8.0326,67.0,8.0326,4,
741,0.0,60.00001,78.0,60.00001,2.688509973,13.665,110.0,13.665,4,
742,0.0,84.0,127.5,84.0,3.213247807,15.0,100.0,15.0,4,
743,0.0,31.0,44.2,31.0,1.570593558,7.0,39.5,7.0,4,
744,0.0,41.0,55.0,41.0,1.989027663,9.0,140.1,9.0,4,
745,0.0,22.0,25.25,22.0,0.877038795,5.0,36.0,5.0,4,
746,0.0,24.0,30.5,24.0,0.979491685,5.5,42.39,5.5,4,
748,0.0,398.0,542.0,398.0,16.35951214,54.0,6999.0,54.0,4,
749,0.0,237.0,324.499985,237.0,7.858516285,36.0,258.0,36.0,4,
750,0.0,30.3,40.5,30.3,1.961860853,10.0,102.0,10.0,4,
751,0.0,114.0,151.5,114.0,5.453234767,23.0,185.0,23.0,4,
752,0.0,134.0,181.5,134.0,6.13922729,24.99999,274.0,24.99999,4,
753,0.0,80.0,104.0,80.0,4.991025943,19.23,105.00002,19.23,4,
754,0.0,17.0,21.0,17.0,1.58876302,8.0,27.3,8.0,4,
757,0.0,13.0,16.0,13.0,0.665515293,5.0,33.0,5.0,4,
777,0.0,15418.0,15869.5,15418.0,50.23499131,108.32,14092.0,108.32,4,
778,0.0,24.2,46.485,24.2,0.66331389,0.5042,315.96,0.5042,4,
836,0.0,178.0,178.0,332.00006,10.05097692,41.0,706.00012,41.0,4,
848,0.0,384.0,421.5,384.0,17.08518149,74.0,9100.0,74.0,4,
1391,0.0,225.4,321.450025,225.4,10.83355509,35.5,1893.6,35.5,4,
1394,0.0,83.7,109.65,83.7,3.83781676,20.0350065,98.3,20.0350065,4,
1395,0.0,32.2,43.7,32.2,1.273817078,6.1,38.9,6.1,4,
1397,0.0,74.8,104.5,74.8,3.334501181,16.2,631.8,16.2,4,
1525,0.0,65.1,91.05,65.1,2.420399454,11.0,71.8,11.0,4,
1541,0.0,7.75157,9.773125,7.75157,0.2325748,0.939,61.65254348,0.939,4,
1551,0.0,17.59878261,22.44194022,17.59878261,1.40027915,2.43965,1388.388,2.43965,4,
1556,0.0,3.2,3.5,3.2,0.157167772,0.747057609,13.17,0.747057609,4,
1622,0.0,134.0,147.5,134.0,3.820723397,18.0,210.0,18.0,4,
1685,0.0,2.0,3.8,2.0,0.192422081,1.5,3.764376068,1.5,4,
1689,0.0,0.536321236,0.536321236,1.0,0.029154446,0.173305523,1.0,0.173305523,4,
1690,0.0,4.401878702,5.380252352,4.401878702,0.430779735,3.428265194,5.128747086,3.428265194,4,
1691,0.0,3.0,3.5,3.0,0.068673711,0.0,3.5,0.0,4,
1692,0.0,8.0,10.5,8.0,0.370510498,3.0,11.4127483,3.0,4,
1693,0.0,5.10899481,5.7,5.10899481,0.318280511,2.903882638,5.1484375,2.903882638,4,
1695,0.0,3.615582939,4.15,3.615582939,0.401189114,2.031572058,4.210053286,2.031572058,4,
1696,0.0,3.0,5.823960323,3.0,0.275280629,2.203670444,3.0,2.203670444,4,
1697,0.0,4.0,4.430271969,4.0,0.229603447,2.0,4.0,2.0,4,
1698,0.0,3.769761351,5.478327395,3.769761351,0.315468302,2.085950544,4.0,2.085950544,4,
1699,0.0,3.759625272,4.5,3.759625272,0.284937794,2.1,4.0,2.1,4,
1700,0.0,0.787329524,0.89,0.787329524,0.021203681,0.2,1.395660706,0.2,4,
1701,0.0,7.0,10.0,7.0,0.784486323,6.0,8.313614094,6.0,4,
1704,0.0,1.079096509,1.714133909,1.079096509,0.05548269,0.5,2.242805935,0.5,4,
1706,0.0,5.0,8.205602421,5.0,0.33172851,2.5,5.0,2.5,4,
1707,0.0,5.5,5.5,6.0,0.30583344,2.0,100.8,2.0,4,
1711,0.0,1.380872122,1.75,1.380872122,0.055977779,0.419995784,11.8,0.419995784,4,
1714,0.0,3.0,5.990064865,3.0,0.216785879,1.630415119,3.5,1.630415119,4,
1715,0.0,4.0,8.98,4.0,0.175494362,0.75,4.0,0.75,4,
1716,0.0,2.2,3.166341364,2.2,0.109074607,1.0,16.0,1.0,4,
1719,0.0,1.7,2.6,1.7,0.076914736,0.6,2.005707223,0.6,4,
1720,0.0,2.7,5.067017317,2.7,0.124313847,1.0,3.0,1.0,4,
1721,0.0,1.45,1.45,1.6,0.081210326,0.8,2.1,0.8,4,
1723,0.0,2.2,3.624399808,2.2,0.122837481,1.0,2.803102161,1.0,4,
1724,0.0,1.636957447,1.75,1.636957447,0.05993553,0.5,4.532456224,0.5,4,
1732,0.0,3.0,4.670569418,3.0,0.174945893,1.378392925,3.5,1.378392925,4,
1733,0.0,2.851322109,3.95,2.851322109,0.164800059,1.175581452,3.0,1.175581452,4,
1734,0.0,1.0,1.0,1.5,0.075182513,0.839926581,10.0,0.839926581,4,
1736,0.0,2.435947897,3.5,2.435947897,0.193382078,1.876556753,2.81746895,1.876556753,4,
1737,0.0,3.1,5.25,3.1,0.202790591,1.712812522,3.2,1.712812522,4,
1744,0.0,3.8,5.125134143,3.8,0.243881721,1.741718656,4.9,1.741718656,4,
1745,0.0,1.1,1.9,1.1,0.102820005,0.6,1.711875,0.6,4,
1748,0.0,4.0,5.5,4.0,0.231145115,1.868369462,4.473170481,1.868369462,4,
1749,0.0,4.5,5.608308723,4.5,0.319829817,2.0,4.927111739,2.0,4,
1754,0.0,2.0,3.310995732,2.0,0.122309618,1.0,2.5,1.0,4,
1755,0.0,3.5,3.668639663,3.5,0.102536843,0.786377181,5.0,0.786377181,4,
1768,0.0,3.0,3.5,3.0,0.121001661,0.975155484,3.092204296,0.975155484,4,
1770,0.0,2.57421875,4.513863673,2.57421875,0.072672866,0.5,3.0,0.5,4,
1772,0.0,2.25263233,3.660786164,2.25263233,0.049326921,0.211872387,3.31,0.211872387,4,
1774,0.0,1.701171634,2.066962211,1.701171634,0.049200393,0.268052537,5.0,0.268052537,4,
1775,0.0,1.1,2.0,1.1,0.014609717,0.0,2.0,0.0,4,
1862,0.0,176.0,256.0,176.0,2.274900934,11.0,146.0,11.0,4,
1863,0.0,741.0,1237.0,741.0,9.269755954,46.0,599.0,46.0,4,
